term,meaning,example,type
frfr,"For real, for real; used to strongly agree or emphasize honesty.","That was the best episode, frfr.",slang
idk,I don't know.,Idk what happened.,slang
ikr,"I know, right; used to agree strongly.","Ikr, that was so awkward.",slang
rn,Right now.,I can't talk rn.,slang
tf,"The fuck; used to express confusion, shock, anger, or emphasis.",Tf is going on?,slang
wtf,"What the fuck; used to express confusion, shock, anger, or disbelief.",Wtf did I just watch?,slang
ong,On God; used to strongly affirm that something is true or serious.,"Ong, I did not say that.",slang
istg,"I swear to God; used to emphasize seriousness, frustration, or honesty.","Istg, if this crashes again.",slang
pookie,"A cute or affectionate nickname for someone liked, loved, or jokingly addressed.","Thanks, pookie.",slang
glazing,"Overpraising or excessively complimenting someone, often in a way seen as embarrassing or too loyal.","Stop glazing him, he made one good shot.",slang
glaze,"Verb/noun: to overpraise someone, or excessive praise itself.",You're glazing that player too much.,slang
glazer,A person who overpraises or excessively supports someone.,He's such a glazer for that team.,slang
yapping,"Talking too much, often about something unimportant or annoying.",He's been yapping for ten minutes.,slang
yap,"Verb/noun: to talk too much, or excessive talk.","Enough yap, get to the point.",slang
yapper,A person who talks too much.,That streamer is a professional yapper.,slang
side eye,"A skeptical, judgmental, or suspicious look or reaction.",She gave him side eye after that comment.,slang
bombastic side eye,"An exaggerated skeptical, judgmental, or disapproving reaction.",Bombastic side eye after that excuse.,slang
pick me,"A person who seeks validation by trying to seem different from or better than others, often for attention.",That comment was giving pick me.,slang
red flag,"A warning sign of bad behavior, risk, or a problematic trait.",Cancelling last minute every time is a red flag.,slang
green flag,"A positive sign of good behavior, safety, or a desirable trait.",Being kind to staff is a green flag.,slang
bffr,"Be for real; used to tell someone to stop being unrealistic, dishonest, or ridiculous.","Bffr, you know that is not true.",slang
be so for real,"A phrase telling someone to be serious, realistic, or honest.","Be so for real, that was not an accident.",slang
canon event,"An event seen as inevitable, formative, or necessary in someone's life story, often jokingly.",Getting humbled in college is a canon event.,slang
girl dinner,"A casual, snack-like, low-effort meal, often assembled from small foods rather than a full cooked meal.","Cheese, crackers, and olives is girl dinner.",slang
girl math,"Humorous or irrational reasoning used to justify spending, saving, or decision-making.",Returning something means the next purchase is free: girl math.,slang
boy math,Humorous or irrational reasoning associated with male behavior or decision-making.,Calling it an investment after buying another console is boy math.,slang
soft launch,"Subtly revealing a relationship, project, or change without fully announcing it.",She soft launched her boyfriend with a hand photo.,slang
hard launch,"Clearly and publicly announcing a relationship, project, or change.",They hard launched their relationship on Instagram.,slang
mother,"A person, usually a woman or feminine-presenting figure, admired for confidence, style, talent, or iconic behavior.",She is mother for that performance.,slang
mothered,"Performed impressively, stylishly, or iconically; acted like 'mother'.",She mothered the whole stage.,slang
goblin mode,"A state of being messy, lazy, self-indulgent, or socially unpolished, often humorously accepted.",I went full goblin mode this weekend.,slang
bed rotting,"Spending a long time lying in bed doing little, often scrolling or resting, sometimes as self-care or avoidance.",I spent Sunday bed rotting.,slang
doomscrolling,Continuously scrolling through negative or distressing online content.,I was doomscrolling news all night.,slang
deinfluencing,Discouraging people from buying overhyped products or encouraging more critical consumption.,That creator is deinfluencing viral skincare.,slang
main character energy,"The vibe of acting or appearing like the central person in a story, usually confident or dramatic.",Walking in the rain with headphones is main character energy.,slang
vibey,"Having a pleasant, stylish, or distinctive atmosphere or feeling.",This café is so vibey.,slang
fit,Short for outfit; the clothes someone is wearing.,Your fit is clean today.,slang
opp,"Short for opposition or opponent; an enemy, rival, or person someone dislikes.","Don't invite him, he's an opp.",slang
ops,"Variant/plural of opp; enemies, rivals, or opposition.",The ops are watching.,slang
chud,"An insulting term for a stupid, unpleasant, reactionary, or socially disliked person.","Don't listen to that chud.",slang
chad,"An attractive, confident, socially successful, or stereotypically masculine man; sometimes used sincerely, ironically, or in incel/manosphere contexts.","He handled that like a chad.",slang
normie,"A mainstream or ordinary person who is not part of a specific internet subculture.","Normies won't understand this meme.",slang
stacy,"An idealized attractive, popular woman; often used in incel/manosphere contexts.","They describe her as a stacy in that forum.",slang
becky,"An ordinary or average woman; often used in incel/manosphere contexts as a contrast to stacy.","The post compares stacys and beckys.",slang
blackpill,"A nihilistic belief, especially in incel spaces, that social or romantic failure is fixed and hopeless.","That comment is full of blackpill thinking.",slang
blackpilled,"Influenced by a nihilistic belief that things are hopeless or predetermined.","He sounds blackpilled about dating.",slang
redpill,"A supposed awakening to hidden social or gender dynamics; often associated with manosphere ideology.","He keeps posting redpill content.",slang
redpilled,"Influenced by redpill ideology or claiming to see hidden social truths.","The video has a redpilled tone.",slang
foid,"A dehumanizing misogynistic term for a woman, used in some incel communities.","The forum used foid as an insult.",slang
femoid,"A dehumanizing misogynistic term for a woman, used in some incel communities.","The comment uses femoid in a hostile way.",slang
soy boy,"An insult for a man perceived as weak, unmasculine, or overly progressive.","They called him a soy boy for liking that movie.",slang
wagecuck,"An insulting term for someone viewed as trapped in ordinary wage work.","He called office workers wagecucks.",slang
gooner,"A person obsessively engaged with sexualized online content or compulsive internet behavior; often used insultingly.","The replies are full of gooner comments.",slang
gooning,"Obsessively engaging with sexualized online content or zoning out in compulsive internet behavior.","He joked that he was gooning all weekend.",slang
coomer,"An insulting meme term for someone seen as overly obsessed with sexual content.","That comment sounds like a coomer take.",slang
doomer,"A pessimistic person who believes things are getting worse or hopeless.","The thread is full of doomer energy.",slang
bloomer,"A person with a hopeful, positive, self-improving attitude; opposite of doomer.","He's become a bloomer lately.",slang
zoomer,"A member of Generation Z or someone associated with Gen Z internet culture.","This is such a zoomer meme.",slang
boomer,"An older person or someone seen as out of touch with modern culture.","Okay boomer, that's not how apps work.",slang
npc behavior,"Unoriginal, automatic, or socially scripted behavior.","That is pure npc behavior.",slang
bot behavior,"Behavior that seems fake, repetitive, or unthinking.","These replies are bot behavior.",slang
terminally online,"Overly shaped by internet culture and disconnected from offline norms.","That take is terminally online.",slang
chronically online,"Overly immersed in internet discourse or online culture.","This is a chronically online argument.",slang
touch grass,"A phrase telling someone to go outside, calm down, or reconnect with real life.","You need to touch grass.",slang
ragebait,"Content designed to make people angry and attract engagement.","That post is obvious ragebait.",slang
engagement bait,"Content designed mainly to get likes, comments, shares, or arguments.","This question is engagement bait.",slang
clout chasing,"Trying to gain attention, popularity, or social status online.","He's just clout chasing.",slang
clout chaser,"Someone who tries to gain attention, popularity, or social status online.","She's acting like a clout chaser.",slang
grifter,"A person who dishonestly exploits a trend, ideology, or audience for money or attention.","That influencer is a grifter.",slang
rage farm,"To repeatedly produce anger-inducing content for engagement.","That account rage farms every day.",slang
rage quit,"To angrily stop playing or participating after frustration.","He rage quit after losing again.",slang
skill issue,"A mocking phrase meaning the problem is due to someone's lack of skill.","You lost again? Skill issue.",slang
massive L,"A major loss, failure, or embarrassing outcome.","That reply was a massive L.",slang
common W,"A predictable or typical success by someone who often does well.","Common W from her.",slang
rare W,"An unexpected success from someone or something usually criticized.","Rare W from that app.",slang
ratioed,"Receiving more negative replies or opposing engagement than support.","He got ratioed immediately.",slang
ratio bait,"A post designed to provoke disagreement and get ratioed.","This is ratio bait.",slang
rent free,"Constantly occupying someone's thoughts, usually in a mocking sense.","She lives rent free in their heads.",slang
copium,"Irrational comfort or denial used to cope with a bad situation.","That's pure copium.",slang
hopium,"Unrealistic hope or optimism about a bad situation improving.","The fans are running on hopium.",slang
seethe,"To be visibly angry or bitter, often while pretending not to be.","They're seething in the replies.",slang
malding,"Being extremely angry, often in a childish or embarrassing way.","He is malding over the game.",slang
pressed,"Upset, bothered, or annoyed.","Why are you so pressed?",slang
meatriding,"Excessively praising, defending, or supporting someone.","Stop meatriding that celebrity.",slang
d riding,"Excessively praising, defending, or supporting someone.","The comments are all d riding him.",slang
glazer,"Someone who excessively praises or flatters another person.","You're such a glazer.",slang
tuff,"Very good, impressive, cool, stylish, or admirable; internet spelling variant of 'tough' used as praise.","That edit is tuff.",slang
tough,"Very good, impressive, cool, stylish, or admirable when used as internet slang; standard spelling of 'tuff'.","That fit is tough.",slang
ass,"Very bad, poor quality, unpleasant, boring, or disappointing when used as an adjective in phrases like 'this is so ass'.","This movie is so ass.",slang
🗿,"Used to express a deadpan, awkward, stoic, or absurd reaction; often a dry ""bruh""-style response.",Bro really said that 🗿,emoji
✨,"Used to add emphasis, irony, aesthetic tone, or playful positivity around a word or phrase.",Just ✨ vibes ✨,emoji
🥺,"Used to express pleading, cuteness, sadness, vulnerability, or wanting sympathy.",Please send the notes 🥺,emoji
🫡,"Used to show respect, acknowledgment, agreement, or joking obedience.",I will handle it 🫡,emoji
🥴,"Used to express awkwardness, embarrassment, discomfort, intoxication, confusion, or chaotic attraction.",That text was kind of wild 🥴,emoji
😮‍💨,"Used to express relief, exhaustion, stress, or that something is impressive or attractive.",That comeback was clean 😮‍💨,emoji
🫠,"Used to express embarrassment, stress, awkwardness, overwhelm, or emotionally melting down.",I forgot the deadline 🫠,emoji
🤌,"Used to show perfection, excellence, emphasis, or a dramatic Italian-style gesture.",This playlist is perfect 🤌,emoji
🗣️,"Used to emphasize that someone is speaking loudly, making a strong point, or saying something important.",Say it louder 🗣️,emoji
📈,"Used to show improvement, increasing value, progress, or something becoming better.",His aura after that play 📈,emoji
📉,"Used to show decline, failure, worsening, or something becoming worse.",My motivation after lunch 📉,emoji
🫶,"Used to express love, support, appreciation, warmth, or affection.",Thanks for helping 🫶,emoji
