term,meaning,example,type,source
Vibe Check,"Noun/verb phrase: an assessment of someone's mood, personality, attitude, energy, or the atmosphere of a situation.","""Let's do a vibe check.""",slang,genz_slang.csv; gen_zz_words.csv
Vibing,describes a generic positive feeling that someone has about something,,slang,genz_slang.csv
Wig,"Interjection/reaction: used when something is surprising, shocking, or impressive; related phrase ""wig snatched"" means being strongly impressed or shocked.","""My wig was snatched by that performance.""",slang,genz_slang.csv; gen_zz_words.csv
Word,"Slang for ""okay.""",,slang,genz_slang.csv
Af,As fuck,,slang,genz_slang.csv
Big brain,When you have done something silly making you feel like your own brain shrinks as you regret all of your life,,slang,genz_slang.csv
chad,"An attractive, confident, socially successful, or stereotypically masculine man; sometimes used sincerely, ironically, or in incel/manosphere contexts.",He handled that like a chad.,slang,genz_slang.csv; manual_additions.csv
Clapped,To be completely and utterly destroyed.,,slang,genz_slang.csv
Clown,People who are completely unintelligent.,,slang,genz_slang.csv
Cringy,anything that’s embarrassing or try-hard,,slang,genz_slang.csv
FOMO,"Noun: fear of missing out; anxiety or regret about missing an event, experience, or opportunity.","""I have FOMO from missing that party.""",slang,genz_slang.csv; gen_zz_words.csv
Fr,For real,,slang,genz_slang.csv
I can’t even,an expression commonly used when someone is feeling either so overjoyed or exasperated that they can’t even find the right words; depending on the context.,,slang,genz_slang.csv
Ion,I don’t,,slang,genz_slang.csv
IRL,In Real Life,,slang,genz_slang.csv
Karen,"Noun: an entitled, demanding, unreasonable, or rude person, often stereotypically directed at women behaving badly toward service workers or others.","""Don't be such a Karen."" | ""She's such a Karen.""",slang,genz_slang.csv; gen_zz_words.csv
lowkey,"Subtly, secretly, quietly, slightly, or to a moderate degree without making it obvious.",I'm lowkey enjoying this.,slang,genz_slang.csv; gen_zz_words.csv
Mom,It just means to admire or look up to someone so much that you jokingly want to be adopted by them or have them as your second parent,,slang,genz_slang.csv
Dad,It just means to admire or look up to someone so much that you jokingly want to be adopted by them or have them as your second parent,,slang,genz_slang.csv
NGL,Not Gonna Lie,,slang,genz_slang.csv
Pick me girl,"Pick me girls are the type of girls who claim that they are nothing like other girls, in order to get attention from guys (also see ‘simping’ below). It’s a derogatory term.",,slang,genz_slang.csv
boomer,"An older person, especially a baby boomer, or someone seen as out of touch with modern culture, trends, or technology.","Okay boomer, that's not how apps work.",slang,genz_slang.csv; manual_additions.csv
Sleeping on,"When you ""sleep on"" something, you overlook or underestimate it",,slang,genz_slang.csv
Shade,"Noun: a subtle or indirect insult, diss, criticism, or disrespect; verb phrase: to throw shade means to insult indirectly.","""She's throwing shade at her ex."" | ""She threw some serious shade at the party.""",slang,genz_slang.csv; gen_zz_words.csv
Shook,"Adjective: shocked, surprised, startled, or emotionally affected.","""I was shook when I heard the news."" | ""I was shook by the news.""",slang,genz_slang.csv; gen_zz_words.csv
Smh,"Shake my head’. Another one for texting, smh usually signifies exasperation",,slang,genz_slang.csv
TBH,short for “to be honest” and is usually used when making a comment or a joke (best to stick to texts with this one too).,,slang,genz_slang.csv
Thirsty,"Adjective: desperate for attention, approval, affection, attraction, or validation.","""He's so thirsty for likes.""",slang,genz_slang.csv; gen_zz_words.csv
Thirst trap,"a social media post intended to, uh, entice viewers and get attention.",,slang,genz_slang.csv
Yas,A very enthusiastic and celebratory way of saying yes!,,slang,genz_slang.csv
Yeet,"Verb: to throw something forcefully; interjection: an excited exclamation used when doing something risky, energetic, or forceful.","""He yeeted the ball across the field."" | ""He yeeted the ball.""",slang,genz_slang.csv; gen_zz_words.csv
ick,used to express disgust at something unpleasant or offensive.,,slang,genz_slang.csv
naur,"means no or know. It functions as a more dramatic way of saying ""no"" or ""know,"" and sounds like ""no"" with an Australian accent. ",,slang,genz_slang.csv
Say less,"A shortened version of ""say no more.""",,slang,genz_slang.csv
Unserious," a more fun way of saying something or someone is ridiculous, or that it can't be taken seriously.",,slang,genz_slang.csv
Gagged,"To be “gagged” is to be shocked, amazed, et cetera.",,slang,genz_slang.csv
Ate,"If you “ate” something, it means you executed it extremely well. ",,slang,genz_slang.csv
Poggers,an expression that conveys excitement,,slang,genz_slang.csv
Heather,"any lovely person who seems like they’re the main character, evoking as much admiration as jealousy",,slang,genz_slang.csv
Wth,What the hell,,slang,genz_slang.csv
Flex,"Verb: to show off, boast, gloat, or display something proudly; noun: an act of showing off or something used to show status.","""He's flexing his new phone."" | ""He's always flexing his new car.""",slang,genz_slang.csv; gen_zz_words.csv
Gucci,"Adjective: good, cool, fine, okay, or all right.","""Everything's Gucci."" | ""Everything's Gucci here.""",slang,genz_slang.csv; gen_zz_words.csv
Hot girl summer,"Hands down one of the biggest slang terms to hit pop culture in the summer of 2019, hot girl summer is about women having a good time and being unapologetic about who they are",,slang,genz_slang.csv
Sturdy,"used to describe someone's dance moves. It's usually used in the phrase ""get sturdy"", which means that someone is performing a specific type of dance in which they move their legs, spin, and hop.",,slang,genz_slang.csv
skill issue,A mocking phrase meaning that a problem or loss is due to someone's lack of skill.,You lost again? Skill issue.,slang,genz_slang.csv; manual_additions.csv
TNTL,Trying not to laugh,,slang,genz_slang.csv
G2G,Got to go,,slang,genz_slang.csv
YNK,You never know,,slang,genz_slang.csv
CSL,Can’t stop laughing,,slang,genz_slang.csv
GMTA,Great minds think alike,,slang,genz_slang.csv
IMO,In my opinion,,slang,genz_slang.csv
IMOH,In my humble opinion,,slang,genz_slang.csv
JK,Just kidding,,slang,genz_slang.csv
Bae,"Short for “baby."" Often a pet name for a crush or significant other.  ",,slang,genz_slang.csv
SSDD,"Some stuff, different day",,slang,genz_slang.csv
WYWH,Wish you were here,,slang,genz_slang.csv
Benching,"Just like in sports, benching someone in dating means putting them to the side to date other people.",,slang,genz_slang.csv
Breadcumbing,When someone leads you on by flirting and making you feel special but without any intention to actually commit to a relationship.,,slang,genz_slang.csv
Cuffing,"""Cuffing"" simply means to get into a relationship.",,slang,genz_slang.csv
DTR,Define the relationship,,slang,genz_slang.csv
Gaslighting,"refers to a form of psychological manipulation in which a significant other makes you feel crazy or wrong, even when unjustified",,slang,genz_slang.csv
ILY,I love you,,slang,genz_slang.csv
Pink flags,"Based on the idea of red flags, pink flags are on step down. They aren’t huge warning signals that something is wrong, but they can hint that this relationship isn’t super healthy",,slang,genz_slang.csv
Smash,means to have casual sex,,slang,genz_slang.csv
Situationship,Describes two people who are not officially dating but who have feelings for each other,,slang,genz_slang.csv
Zaddy,"Refers to an attractive, well-dressed man. Often, it’s an older man",,slang,genz_slang.csv
Zombie-ing,"This happens after someone ghosts you, and then decides to start talking to you again like nothing ever happened.",,slang,genz_slang.csv
Bounce,"Verb: to leave, exit, or go away, often quickly or casually.","""I'm bouncing, see you later."" | ""I'm gonna bounce now.""",slang,gen_zz_words.csv
Cancelled,"Adjective/verb form: publicly denounced, rejected, or socially criticized because of something said or done.","""She got cancelled after that post.""",slang,gen_zz_words.csv
Chill,"Adjective: relaxed, calm, or easy-going; verb: to relax or spend time casually.","""I'm just chilling today.""",slang,gen_zz_words.csv
DM,Direct Message on social media.,"""I'll DM you the details.""",slang,gen_zz_words.csv
Dope,"Adjective: cool, excellent, awesome, or impressive.","""That jacket is dope."" | ""That outfit is dope.""",slang,gen_zz_words.csv
Hype,"Noun: intense excitement, attention, or anticipation; verb: to excite, promote, or build anticipation.","""The hype is real."" | ""The hype is real for this movie.""",slang,gen_zz_words.csv
Noob,Newbie or beginner.,"""He's such a noob at this game.""",slang,gen_zz_words.csv
Oof,"Interjection: a reaction expressing sympathy, discomfort, pain, awkwardness, or recognition that something is tough or unfortunate.","""Oof, that must have hurt."" | ""Oof, that's tough.""",slang,gen_zz_words.csv
Receipts,"Noun: proof, evidence, screenshots, messages, or records supporting a claim.","""Show me the receipts for your claims."" | ""Where are the receipts for your claim?""",slang,gen_zz_words.csv
Spill,Reveal the truth.,"""Spill the tea, what happened?""",slang,gen_zz_words.csv
Vibes,"Noun: energy, mood, atmosphere, feeling, or general impression; often positive when used as ""good vibes"".","""I'm loving the vibes here."" | ""I love the vibes here.""",slang,gen_zz_words.csv
zoomer,A member of Generation Z or someone associated with Gen Z internet culture.,This is such a zoomer meme.,slang,gen_zz_words.csv; manual_additions.csv
Clout,"Noun: influence, popularity, social status, or power, especially online.","""He's just doing it for the clout.""",slang,gen_zz_words.csv
Deadass,"Adverb/adjective: seriously, genuinely, honestly, or completely serious.","""I'm deadass not joking."" | ""I'm deadass serious.""",slang,gen_zz_words.csv
JOMO,Noun: joy of missing out; happiness or relief from choosing not to attend or participate.,"""I'm all about JOMO these days."" | ""I prefer JOMO to FOMO.""",slang,gen_zz_words.csv
Living Rent-Free,"Verb phrase: taking up a lot of space in someone's thoughts or mind, often repeatedly or involuntarily.","""She's living rent-free in my mind."" | ""That comment is living rent-free in my mind.""",slang,gen_zz_words.csv
Normalize,"Verb: to make something accepted, common, usual, or treated as normal.","""We need to normalize self-care."" | ""We need to normalize mental health talks.""",slang,gen_zz_words.csv
pressed,"Angry, annoyed, upset, irritated, or bothered about something.",Why are you so pressed?,slang,gen_zz_words.csv; manual_additions.csv
Resonate,"Verb: to deeply connect with someone, feel meaningful, or make emotional or logical sense.","""That quote really resonates with me.""",slang,gen_zz_words.csv
Shooketh,"Adjective: extremely shocked, surprised, or dramatically shaken.","""I am shooketh by that twist.""",slang,gen_zz_words.csv
Swerve,"Verb: to avoid, dodge, reject, or move away from something or someone.","""I had to swerve to avoid the drama."" | ""She had to swerve that awkward conversation.""",slang,gen_zz_words.csv
Tight,"Adjective: angry, frustrated, irritated, or upset.","""He's tight about what happened."" | ""Why are you so tight today?""",slang,gen_zz_words.csv
Unbothered,"Adjective: not caring, unaffected, calm, or not emotionally disturbed by something.","""She's completely unbothered by the hate.""",slang,gen_zz_words.csv
Wavy,"Adjective: cool, trendy, stylish, or impressive.","""That outfit is wavy.""",slang,gen_zz_words.csv
Whip,Noun: car or vehicle.,"""Check out my new whip.""",slang,gen_zz_words.csv
Wildin,"Verb/adjective form: acting wild, reckless, unreasonable, chaotic, or out of control.","""He was wildin' at the party.""",slang,gen_zz_words.csv
Wylin,"Verb/adjective form: acting wild, reckless, unreasonable, chaotic, or out of control.","""She's wylin out here.""",slang,gen_zz_words.csv
Zooted,Adjective: intoxicated or under the influence of drugs or alcohol.,"""He's zooted right now.""",slang,gen_zz_words.csv
Zoomies,"Noun: a sudden burst of energy, often used for pets but sometimes playfully for people.","""My dog has the zoomies.""",slang,gen_zz_words.csv
Spill the Tea,"Verb phrase: to share gossip, news, details, or private information.","""Come on, spill the tea.""",slang,gen_zz_words.csv
Bodega,"Noun: a small grocery or convenience store, typically in an urban area.","""I'm heading to the bodega.""",slang,gen_zz_words.csv
Gassed Up,"Adjective/verb phrase: feeling excited, confident, hyped, or encouraged; can also mean being praised or encouraged by others.","""I'm so gassed up for the concert.""",slang,gen_zz_words.csv
Fire,"Adjective: really good, excellent, impressive, exciting, or high-quality.","""That song is fire."" | ""This pizza is fire.""",slang,gen_zz_words.csv
Hypebeast,"Noun: someone strongly interested in fashionable, trendy, hyped, or expensive streetwear and brands.","""He's such a hypebeast.""",slang,gen_zz_words.csv
Keep it 100,"Verb phrase: to be completely honest, truthful, real, or sincere.","""I'm just keeping it 100 with you.""",slang,gen_zz_words.csv
No Cap,"Phrase: no lie, honestly, truthfully, or I am serious.","""That's the best movie, no cap.""",slang,gen_zz_words.csv
Plug,"Noun: someone who can supply or provide something needed; verb: to promote, mention, or connect someone to a source, depending on context.","""He's the plug for all the best snacks.""",slang,gen_zz_words.csv
Sneak Diss,"Noun: a subtle, indirect, hidden, or implied insult; verb phrase: to insult someone indirectly.","""Was that a sneak diss?""",slang,gen_zz_words.csv
Stay Woke,"Verb phrase: stay aware, alert, or informed, especially about social or political issues.","""Stay woke about what's happening.""",slang,gen_zz_words.csv
Thicc,"Adjective: having a curvy, full, or voluptuous body shape, usually used to describe someone's figure.","""She's so thicc.""",slang,gen_zz_words.csv
Vibe,The mood or atmosphere.,"""I love the vibe here.""",slang,gen_zz_words.csv
Wild,Crazy or out of control.,"""That party was wild.""",slang,gen_zz_words.csv
Big Mood,A strong feeling or sentiment that others relate to.,"""That nap was a big mood.""",slang,gen_zz_words.csv
YOLO,"Interjection/noun phrase: you only live once; used to justify taking risks, doing something spontaneous, or not overthinking consequences.","""I'm gonna do it, YOLO!""",slang,gen_zz_words.csv
Bruh,"A casual term for ""bro"" or ""dude.""","""Come on, bruh, let's go.""",slang,gen_zz_words.csv
Dead,Used to describe something very funny.,"""I'm dead, that was hilarious.""",slang,gen_zz_words.csv
Mood,An expression of a relatable feeling or vibe.,"""That's such a mood.""",slang,gen_zz_words.csv
Savage,"Acting fierce, confident, and unfiltered.","""Her clap back was savage.""",slang,gen_zz_words.csv
💀,Used as a symbol of laughter,,emoji,genz_emojis.csv
🤡,someone who is acting or saying something incredibly foolish,,emoji,genz_emojis.csv
😭,"exclusively used to indicate positive feelings, like when something is so funny, cute, or sweet that it’s totally overwhelming",,emoji,genz_emojis.csv
😅,"I’m stressed, but I’m fine.",,emoji,genz_emojis.csv
👍,Used to send a sarcastic or passive-aggressive message,,emoji,genz_emojis.csv
🙏,Used as a way of saying thank you,,emoji,genz_emojis.csv
🔥,"means something is lit, super stylish, or even hot (as in attractive) or sexy.",,emoji,genz_emojis.csv
♻️,When someone posts something that has already been said or shared before,,emoji,genz_emojis.csv
👀, a sign of interest and attentiveness,,emoji,genz_emojis.csv
🙃,code for “this is terrible” or FML.,,emoji,genz_emojis.csv
⏳,Used it when someone is attractive,,emoji,genz_emojis.csv
🤰,Used to express how hot or interesting someone or something is,,emoji,genz_emojis.csv
🙂,"might might be used ironically to indicate a fake smile, such as one you’d use in awkward situations or when you’re feeling uncomfortable.",,emoji,genz_emojis.csv
👁️👄👁️,means “shocked” or “shocking.”,,emoji,genz_emojis.csv
😗,means “sounds good to me” or even “ohhh.”,,emoji,genz_emojis.csv
❤️,"younger generations are using fairy comments, or hard speech combined with “soft” emojis that lessen the blow. ❤️ might be paired with the word “no” to create a message that means “sorry, but no.” ",,emoji,genz_emojis.csv
🤪,"indicates that you’re being goofy, dorky, partying, or just in a really weird mood",,emoji,genz_emojis.csv
🧢,The word “cap” comes from the slang term “no cap” which means “no lie”.,,emoji,genz_emojis.csv
💳💥💳💥💳💥,"shut up and take my money, used by people when they see something they would like to buy for themselves in videos or pictures online",,emoji,genz_emojis.csv
👉👈,"used to express shyness, almost as though you are twiddling your thumbs.",,emoji,genz_emojis.csv
✨✨🧚🧚,"Usually, the comments start out positive or sweet, then at least one word is highlighted by sparkles used to emphasise that particular word. However, what is being said is either negative, sassy or bad news of sorts but the fairy language helps soften the blow a little.",,emoji,genz_emojis.csv
😙👌,When something is really good.,,emoji,genz_emojis.csv
💅,Showing that you are fancy,,emoji,genz_emojis.csv
🐸☕,"usually added at the end of a statement as a ""no further comment"" or ""but I won't expound because that ain't my business.""",,emoji,genz_emojis.csv
🦦,"used as caption for when you're vibing, relaxing, or chilling, especially at the beach or on vacatio",,emoji,genz_emojis.csv
🧍,"typically used to indicate you're speechless, or a less awkward ""I don't know how to respond to that.""",,emoji,genz_emojis.csv
🅱️," typically used to replace other consonants (particularly the letters B, D, G, K, and P) for no other reason than just random comedic effect.",,emoji,genz_emojis.csv
🅿,"means you're feeling good, keeping it real, or having a good life. P would then stand for positivity, in an umbrella term sense.",,emoji,genz_emojis.csv
🍁 , code for weed or marijuana,,emoji,genz_emojis.csv
👀🕷️👀,used to denote shock,,emoji,genz_emojis.csv
🐐,meaning the Greatest of All Time,,emoji,genz_emojis.csv
🧎‍♀️🏌️‍♀️,bonk,,emoji,genz_emojis.csv
🤸🚆,embarrassed,,emoji,genz_emojis.csv
💨🚣,I’m heading out,,emoji,genz_emojis.csv
😃 👉🚪,You can leave,,emoji,genz_emojis.csv
👩‍🍼🤾‍♀️🗑️,No babies today,,emoji,genz_emojis.csv
😃🖕,Do I care?,,emoji,genz_emojis.csv
🔫😃,"Excuse me, what?",,emoji,genz_emojis.csv
🏃‍♀️💨,Time to leave,,emoji,genz_emojis.csv
🍿🤏😯,When things are going down,,emoji,genz_emojis.csv
🧍🚗💨,Self explanatory,,emoji,genz_emojis.csv
🦟🦗🦟🦗,No particular meaning. Gen-z likes the combo and uses it because they find it funny. May also refer to twerking,,emoji,genz_emojis.csv
🏃‍♀️🛺💨,zoom,,emoji,genz_emojis.csv
🕳️👩‍🦯,"And suddenly, I’m blind",,emoji,genz_emojis.csv
👩‍🦽,Hey lol,,emoji,genz_emojis.csv
🍑💨,fart,,emoji,genz_emojis.csv
✊😐,nevenmind,,emoji,genz_emojis.csv
🌚🌝,Se that bestie,,emoji,genz_emojis.csv
🙄✋,"Chao, anyways",,emoji,genz_emojis.csv
🌜🤝🌛,In a business deal,,emoji,genz_emojis.csv
👨‍💻🧴,I’m bussy bro,,emoji,genz_emojis.csv
🧨☄️👩‍🦽,Put it in reverse,,emoji,genz_emojis.csv
🧃🐢,He snackin’,,emoji,genz_emojis.csv
💪🐷 ,Mmmm strong,,emoji,genz_emojis.csv
🚪👈😡,You need to leave,,emoji,genz_emojis.csv
🎷🐛,jazz-music,,emoji,genz_emojis.csv
🛏️🤺,Get up,,emoji,genz_emojis.csv
☺️💅,Feeling pretty,,emoji,genz_emojis.csv
"🪂
🕳️",I’m out,,emoji,genz_emojis.csv
👩🤏,Wig snatched,,emoji,genz_emojis.csv
🕳️🎢,Bye,,emoji,genz_emojis.csv
🚪🚶‍♀️ 🏌️‍♀️,Get out,,emoji,genz_emojis.csv
☝️😮,Hold up,,emoji,genz_emojis.csv
🤳🤼,School fight,,emoji,genz_emojis.csv
👉🙄👈,Not listening,,emoji,genz_emojis.csv
🤡🪞,Go look in the mirror,,emoji,genz_emojis.csv
😎🕶️🤏🙂,Not cool,,emoji,genz_emojis.csv
🐂💩,bullshit,,emoji,genz_emojis.csv
👩‍🦽🧎‍♀️🦽,Damm i fell,,emoji,genz_emojis.csv
🎤🦆,Who has something to say?,,emoji,genz_emojis.csv
🤰🤛,Let it die,,emoji,genz_emojis.csv
🔭🦔,Stargazing,,emoji,genz_emojis.csv
👂🤏👂,Huh I wasn’t listening,,emoji,genz_emojis.csv
delulu,"Delusional, usually in an exaggerated or humorous way, especially about relationships, plans, or unrealistic hopes.",I'm delulu if I think they texted me back because they like me.,slang,manual_additions.csv
skibidi,"A mostly nonsensical meme word associated with absurd, chaotic, or brainrot-style internet humor.",What in the skibidi is happening right now?,slang,manual_additions.csv
gyatt,"An exclamation of surprise or admiration, often used in response to someone's body or appearance.","Gyatt, that outfit is crazy.",slang,manual_additions.csv
